antecedents,consequents,support,confidence
frozenset({'선인장'}),frozenset({'야생화'}),0.001988072,0.144736842
frozenset({'야생화'}),frozenset({'선인장'}),0.001988072,0.024719101
frozenset({'수생/식충/과실수'}),frozenset({'야생화'}),0.001988072,0.144736842
frozenset({'야생화'}),frozenset({'수생/식충/과실수'}),0.001988072,0.024719101
frozenset({'모종'}),frozenset({'흙/마사/스톤'}),0.001988072,0.122222222
frozenset({'흙/마사/스톤'}),frozenset({'모종'}),0.001988072,0.024886878
"frozenset({'다육', '인테리어식물'})",frozenset({'관엽식물'}),0.001988072,0.423076923
"frozenset({'인테리어식물', '관엽식물'})",frozenset({'다육'}),0.001988072,0.186440678
"frozenset({'다육', '관엽식물'})",frozenset({'인테리어식물'}),0.001988072,0.25
frozenset({'인테리어식물'}),"frozenset({'다육', '관엽식물'})",0.001988072,0.022774327
frozenset({'다육'}),"frozenset({'인테리어식물', '관엽식물'})",0.001988072,0.057894737
frozenset({'관엽식물'}),"frozenset({'다육', '인테리어식물'})",0.001988072,0.025114155
"frozenset({'다육', '공기정화식물'})",frozenset({'인테리어식물'}),0.001988072,0.234042553
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'다육'}),0.001988072,0.104761905
"frozenset({'다육', '인테리어식물'})",frozenset({'공기정화식물'}),0.001988072,0.423076923
frozenset({'공기정화식물'}),"frozenset({'다육', '인테리어식물'})",0.001988072,0.020484171
frozenset({'다육'}),"frozenset({'인테리어식물', '공기정화식물'})",0.001988072,0.057894737
frozenset({'인테리어식물'}),"frozenset({'다육', '공기정화식물'})",0.001988072,0.022774327
"frozenset({'기타원예', '흙/마사/스톤'})",frozenset({'화분'}),0.001988072,0.34375
"frozenset({'흙/마사/스톤', '화분'})",frozenset({'기타원예'}),0.001988072,0.255813953
"frozenset({'기타원예', '화분'})",frozenset({'흙/마사/스톤'}),0.001988072,0.523809524
frozenset({'흙/마사/스톤'}),"frozenset({'기타원예', '화분'})",0.001988072,0.024886878
frozenset({'기타원예'}),"frozenset({'흙/마사/스톤', '화분'})",0.001988072,0.067073171
frozenset({'화분'}),"frozenset({'기타원예', '흙/마사/스톤'})",0.001988072,0.052132701
frozenset({'인테리어식물'}),frozenset({'영양제/살균제'}),0.001807338,0.020703934
frozenset({'영양제/살균제'}),frozenset({'인테리어식물'}),0.001807338,0.125
frozenset({'선인장'}),frozenset({'수입식물'}),0.001807338,0.131578947
frozenset({'수입식물'}),frozenset({'선인장'}),0.001807338,0.032894737
frozenset({'영양제/살균제'}),frozenset({'기타원예'}),0.001807338,0.125
frozenset({'기타원예'}),frozenset({'영양제/살균제'}),0.001807338,0.06097561
frozenset({'특가세일'}),frozenset({'흙/마사/스톤'}),0.001807338,0.026954178
frozenset({'흙/마사/스톤'}),frozenset({'특가세일'}),0.001807338,0.022624434
"frozenset({'다육', '야생화'})",frozenset({'관엽식물'}),0.001807338,0.27027027
"frozenset({'다육', '관엽식물'})",frozenset({'야생화'}),0.001807338,0.227272727
"frozenset({'관엽식물', '야생화'})",frozenset({'다육'}),0.001807338,0.135135135
frozenset({'다육'}),"frozenset({'관엽식물', '야생화'})",0.001807338,0.052631579
frozenset({'야생화'}),"frozenset({'다육', '관엽식물'})",0.001807338,0.02247191
frozenset({'관엽식물'}),"frozenset({'다육', '야생화'})",0.001807338,0.02283105
"frozenset({'다육', '인테리어식물'})",frozenset({'야생화'}),0.001807338,0.384615385
"frozenset({'인테리어식물', '야생화'})",frozenset({'다육'}),0.001807338,0.175438596
"frozenset({'다육', '야생화'})",frozenset({'인테리어식물'}),0.001807338,0.27027027
frozenset({'인테리어식물'}),"frozenset({'다육', '야생화'})",0.001807338,0.020703934
frozenset({'다육'}),"frozenset({'인테리어식물', '야생화'})",0.001807338,0.052631579
frozenset({'야생화'}),"frozenset({'다육', '인테리어식물'})",0.001807338,0.02247191
frozenset({'야생화'}),frozenset({'서양란'}),0.001626604,0.020224719
frozenset({'서양란'}),frozenset({'야생화'}),0.001626604,0.076923077
frozenset({'특가세일'}),frozenset({'공중식물'}),0.001626604,0.02425876
frozenset({'공중식물'}),frozenset({'특가세일'}),0.001626604,0.046632124
"frozenset({'수입식물', '인테리어식물'})",frozenset({'관엽식물'}),0.001626604,0.25
"frozenset({'인테리어식물', '관엽식물'})",frozenset({'수입식물'}),0.001626604,0.152542373
"frozenset({'수입식물', '관엽식물'})",frozenset({'인테리어식물'}),0.001626604,0.157894737
frozenset({'인테리어식물'}),"frozenset({'수입식물', '관엽식물'})",0.001626604,0.01863354
frozenset({'수입식물'}),"frozenset({'인테리어식물', '관엽식물'})",0.001626604,0.029605263
frozenset({'관엽식물'}),"frozenset({'수입식물', '인테리어식물'})",0.001626604,0.020547945
"frozenset({'수입식물', '야생화'})",frozenset({'관엽식물'}),0.001626604,0.214285714
"frozenset({'수입식물', '관엽식물'})",frozenset({'야생화'}),0.001626604,0.157894737
"frozenset({'관엽식물', '야생화'})",frozenset({'수입식물'}),0.001626604,0.121621622
frozenset({'수입식물'}),"frozenset({'관엽식물', '야생화'})",0.001626604,0.029605263
frozenset({'야생화'}),"frozenset({'수입식물', '관엽식물'})",0.001626604,0.020224719
frozenset({'관엽식물'}),"frozenset({'수입식물', '야생화'})",0.001626604,0.020547945
"frozenset({'수입식물', '공기정화식물'})",frozenset({'인테리어식물'}),0.001626604,0.1125
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'수입식물'}),0.001626604,0.085714286
"frozenset({'수입식물', '인테리어식물'})",frozenset({'공기정화식물'}),0.001626604,0.25
frozenset({'공기정화식물'}),"frozenset({'수입식물', '인테리어식물'})",0.001626604,0.016759777
frozenset({'수입식물'}),"frozenset({'인테리어식물', '공기정화식물'})",0.001626604,0.029605263
frozenset({'인테리어식물'}),"frozenset({'수입식물', '공기정화식물'})",0.001626604,0.01863354
"frozenset({'인테리어식물', '야생화', '공기정화식물'})",frozenset({'관엽식물'}),0.001626604,0.6
"frozenset({'관엽식물', '야생화', '공기정화식물'})",frozenset({'인테리어식물'}),0.001626604,0.36
"frozenset({'인테리어식물', '관엽식물', '공기정화식물'})",frozenset({'야생화'}),0.001626604,0.346153846
"frozenset({'인테리어식물', '관엽식물', '야생화'})",frozenset({'공기정화식물'}),0.001626604,0.642857143
"frozenset({'야생화', '공기정화식물'})","frozenset({'인테리어식물', '관엽식물'})",0.001626604,0.097826087
"frozenset({'인테리어식물', '공기정화식물'})","frozenset({'관엽식물', '야생화'})",0.001626604,0.085714286
"frozenset({'관엽식물', '공기정화식물'})","frozenset({'인테리어식물', '야생화'})",0.001626604,0.073170732
"frozenset({'인테리어식물', '야생화'})","frozenset({'관엽식물', '공기정화식물'})",0.001626604,0.157894737
"frozenset({'관엽식물', '야생화'})","frozenset({'인테리어식물', '공기정화식물'})",0.001626604,0.121621622
"frozenset({'인테리어식물', '관엽식물'})","frozenset({'야생화', '공기정화식물'})",0.001626604,0.152542373
frozenset({'공기정화식물'}),"frozenset({'인테리어식물', '관엽식물', '야생화'})",0.001626604,0.016759777
frozenset({'야생화'}),"frozenset({'인테리어식물', '관엽식물', '공기정화식물'})",0.001626604,0.020224719
frozenset({'인테리어식물'}),"frozenset({'관엽식물', '야생화', '공기정화식물'})",0.001626604,0.01863354
frozenset({'관엽식물'}),"frozenset({'인테리어식물', '야생화', '공기정화식물'})",0.001626604,0.020547945
frozenset({'수생/식충/과실수'}),frozenset({'관엽식물'}),0.00144587,0.105263158
frozenset({'관엽식물'}),frozenset({'수생/식충/과실수'}),0.00144587,0.01826484
frozenset({'공기정화식물'}),frozenset({'완제품'}),0.00144587,0.014897579
frozenset({'완제품'}),frozenset({'공기정화식물'}),0.00144587,0.186046512
frozenset({'공기정화식물'}),frozenset({'영양제/살균제'}),0.00144587,0.014897579
frozenset({'영양제/살균제'}),frozenset({'공기정화식물'}),0.00144587,0.1
frozenset({'공기정화식물'}),frozenset({'모종'}),0.00144587,0.014897579
frozenset({'모종'}),frozenset({'공기정화식물'}),0.00144587,0.088888889
frozenset({'씨앗'}),frozenset({'화분'}),0.00144587,0.421052632
frozenset({'화분'}),frozenset({'씨앗'}),0.00144587,0.037914692
"frozenset({'흙/마사/스톤', '공기정화식물'})",frozenset({'관엽식물'}),0.00144587,0.216216216
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'흙/마사/스톤'}),0.00144587,0.06504065
"frozenset({'흙/마사/스톤', '관엽식물'})",frozenset({'공기정화식물'}),0.00144587,0.347826087
frozenset({'공기정화식물'}),"frozenset({'흙/마사/스톤', '관엽식물'})",0.00144587,0.014897579
frozenset({'흙/마사/스톤'}),"frozenset({'관엽식물', '공기정화식물'})",0.00144587,0.018099548
frozenset({'관엽식물'}),"frozenset({'흙/마사/스톤', '공기정화식물'})",0.00144587,0.01826484
"frozenset({'공중식물', '야생화'})",frozenset({'관엽식물'}),0.00144587,0.296296296
"frozenset({'관엽식물', '야생화'})",frozenset({'공중식물'}),0.00144587,0.108108108
"frozenset({'공중식물', '관엽식물'})",frozenset({'야생화'}),0.00144587,0.275862069
frozenset({'야생화'}),"frozenset({'공중식물', '관엽식물'})",0.00144587,0.017977528
frozenset({'공중식물'}),"frozenset({'관엽식물', '야생화'})",0.00144587,0.041450777
frozenset({'관엽식물'}),"frozenset({'공중식물', '야생화'})",0.00144587,0.01826484
"frozenset({'인테리어식물', '특가세일'})",frozenset({'공기정화식물'}),0.00144587,0.216216216
"frozenset({'공기정화식물', '특가세일'})",frozenset({'인테리어식물'}),0.00144587,0.32
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'특가세일'}),0.00144587,0.076190476
frozenset({'특가세일'}),"frozenset({'인테리어식물', '공기정화식물'})",0.00144587,0.021563342
frozenset({'인테리어식물'}),"frozenset({'공기정화식물', '특가세일'})",0.00144587,0.016563147
